,0.00821917808219178,0.010958904109589041,0.019178082191780823,0.021917808219178082,0.024657534246575342,0.0273972602739726
620.0,153.13,154.255,156.85500000000002,153.84,154.71,156.14
625.0,148.285,146.57,151.01,149.88,149.58499999999998,149.57
630.0,142.75,145.195,143.485,144.73000000000002,144.345,142.705
635.0,138.99,139.0,140.495,137.285,138.505,136.81
640.0,133.995,132.2695,132.315,134.575,135.725,133.215
645.0,128.92,129.58499999999998,127.795,129.9995,129.165,127.1495
650.0,122.43,122.375,124.21000000000001,122.97,122.275,126.495
655.0,118.46000000000001,117.64,120.715,119.155,120.055,119.10499999999999
660.0,114.235,115.38499999999999,115.5,114.38,113.33,112.37
665.0,107.185,108.975,108.235,109.78999999999999,109.86500000000001,107.74000000000001
670.0,104.69,103.88499999999999,103.45,105.195,104.015,102.68
675.0,98.26,97.08500000000001,99.545,100.33,99.275,97.975
680.0,92.85,94.025,95.69,94.34,93.435,94.775
685.0,88.715,88.35,89.33,89.4,88.175,89.06
690.0,82.71,84.28,84.215,85.13499999999999,83.925,85.775
695.0,77.22999999999999,77.985,78.75,78.68,79.795,78.015
700.0,72.125,72.86500000000001,73.91,74.495,74.18,74.42
705.0,68.61,68.655,69.42500000000001,68.715,69.315,69.6
710.0,62.7,63.435,63.315,64.05499999999999,64.47,63.705
715.0,58.0,59.44,58.805,59.730000000000004,58.8,60.06
720.0,53.504999999999995,53.965,53.45,54.305,53.78,55.379999999999995
721.0,51.89,52.105000000000004,52.54,53.24,53.485,52.864999999999995
722.0,52.265,51.28,51.769999999999996,52.7,52.405,52.605000000000004
723.0,51.31,49.845,51.295,51.36,51.91,51.685
724.0,49.650000000000006,48.94,49.905,50.129999999999995,50.425,50.64
725.0,49.17,49.644999999999996,49.290000000000006,49.22,49.545,49.95
726.0,47.35,48.06,48.81,48.635,47.72,49.215
727.0,46.44,46.3,47.705,47.875,47.540000000000006,47.22
728.0,45.795,46.05,45.79,46.675,46.290000000000006,47.105000000000004
729.0,44.465,44.85,45.43,44.94,45.485,45.864999999999995
730.0,43.75,43.489999999999995,43.2,44.315,44.715,44.7
731.0,42.76,42.78,43.519999999999996,43.370000000000005,44.26,44.265
732.0,41.394999999999996,42.2,42.05,42.075,42.795,42.6
733.0,40.730000000000004,41.239999999999995,40.985,41.665,41.59,41.885000000000005
734.0,39.61,39.965,40.045,40.36,40.415,40.965
735.0,38.385000000000005,39.225,39.3,38.925,39.49,39.85
736.0,36.9,37.675,38.28,37.974999999999994,38.255,38.53
737.0,36.585,36.56,37.495000000000005,37.885,37.485,38.55
738.0,34.815,35.72,36.545,36.07,36.525,36.195
739.0,34.475,34.8,35.91,35.205,35.93,36.06
740.0,34.05500000000001,34.05,34.355000000000004,34.45,34.55,34.375
741.0,32.075,32.929500000000004,33.115,33.325,33.955,33.97
742.0,31.380000000000003,32.614999999999995,32.475,33.13,32.489999999999995,33.295
743.0,30.555,31.03,31.365,31.205,31.475,31.785000000000004
744.0,29.625,29.86,30.5795,30.924999999999997,30.8295,30.79
745.0,28.68,28.9,29.825000000000003,29.6,30.21,30.310000000000002
746.0,27.03,28.07,28.665,28.265,29.185000000000002,29.42
747.0,26.955,27.395000000000003,27.485,27.58,28.15,27.86
748.0,25.725,26.14,26.64,26.605,26.825,27.145
749.0,24.71,25.145,25.41,25.585,26.17,25.97
750.0,23.545,23.595,24.055,24.805,25.240000000000002,25.27
751.0,22.705,22.795,23.425,23.785,24.32,23.990000000000002
752.0,21.55,22.39,22.42,23.23,23.08,23.025
753.0,20.92,21.46,21.85,22.35,22.145,22.78
754.0,19.67,20.174999999999997,21.18,21.195,21.25,21.59
755.0,19.0,19.32,20.05,20.085,20.465,20.785
756.0,17.89,18.165,19.145,19.5,19.89,20.055
757.0,17.015,17.259999999999998,17.83,18.38,18.955,18.759999999999998
758.0,15.85,16.475,17.035,17.6,18.020000000000003,18.415
759.0,15.06,16.145,16.494500000000002,16.905,16.985,17.11
760.0,14.535,14.79,15.405,15.625,16.285,16.71
761.0,13.39,13.83,14.705,14.785,15.225,15.695
762.0,12.595,13.26,13.565,13.98,14.690000000000001,14.93
763.0,11.705,12.315000000000001,12.885000000000002,13.215,13.725,13.98
764.0,10.81,11.405000000000001,11.945,12.629999999999999,12.725,13.205
765.0,10.0,10.739999999999998,11.385,11.7,12.135,12.495000000000001
766.0,9.18,9.774999999999999,10.635,10.885,11.24,11.905000000000001
767.0,8.26,9.01,9.805,10.24,10.735,11.065000000000001
768.0,7.545,8.265,9.115,9.379999999999999,9.719999999999999,10.355
769.0,6.654999999999999,7.609500000000001,8.41,8.76,9.195,9.695
770.0,5.975,6.734999999999999,7.6899999999999995,8.09,8.46,8.825
771.0,5.375,6.055,6.885,7.36,7.83,8.224499999999999
772.0,4.805,5.505,6.32,6.800000000000001,7.185,7.68
773.0,4.21,4.84,5.8149999999999995,6.395,6.67,6.995
774.0,3.715,4.4,5.390000000000001,5.74,6.155,6.46
775.0,3.21,3.8899999999999997,4.845,5.289999999999999,5.665,6.1
776.0,2.8899999999999997,3.42,4.305,4.77,5.2,5.415
777.0,2.43,2.94,3.885,4.225,4.654999999999999,5.0649999999999995
778.0,2.065,2.62,3.4450000000000003,3.83,4.220000000000001,4.55
779.0,1.75,2.2800000000000002,3.06,3.415,3.825,4.195
780.0,1.4649999999999999,1.955,2.66,3.05,3.415,3.715
781.0,1.2,1.65,2.385,2.695,3.09,3.375
782.0,1.02,1.44,2.0645,2.355,2.7199999999999998,3.0599999999999996
783.0,0.825,1.23,1.8250000000000002,2.13,2.415,2.6799999999999997
784.0,0.69,1.03,1.5950000000000002,1.81,2.12,2.45
785.0,0.56,0.85,1.35,1.615,1.855,2.1500000000000004
786.0,0.43000000000000005,0.815,1.16,1.3900000000000001,1.6749999999999998,1.885
787.0,0.345,0.635,0.99,1.18,1.415,1.6949999999999998
788.0,0.255,0.5449999999999999,0.8200000000000001,1.03,1.25,1.455
789.0,0.245,0.46499999999999997,0.69,0.9,1.06,1.2850000000000001
790.0,0.195,0.345,0.615,0.77,0.95,1.14
791.0,0.185,0.315,0.48,0.64,0.8200000000000001,0.99
792.0,0.14500000000000002,0.255,0.395,0.52,0.69,0.825
793.0,0.08499999999999999,0.215,0.365,0.475,0.5700000000000001,0.71
794.0,0.08499999999999999,0.135,0.315,0.405,0.525,0.65
795.0,0.08499999999999999,0.125,0.245,0.305,0.42500000000000004,0.5449999999999999
796.0,0.045,0.125,0.225,0.295,0.365,0.46499999999999997
797.0,0.035,0.11499999999999999,0.195,0.215,0.335,0.405
798.0,0.065,0.07500000000000001,0.125,0.215,0.28500000000000003,0.37
799.0,0.065,0.08499999999999999,0.125,0.185,0.235,0.30500000000000005
800.0,0.055,0.08499999999999999,0.10500000000000001,0.125,0.175,0.28500000000000003
801.0,0.015,0.07500000000000001,0.11499999999999999,0.10500000000000001,0.195,0.215
802.0,0.055,0.035,0.08499999999999999,0.135,0.175,0.225
803.0,0.045,0.065,0.095,0.11499999999999999,0.155,0.155
804.0,0.015,0.065,0.065,0.065,0.115,0.175
805.0,0.015,0.015,0.08499999999999999,0.07500000000000001,0.125,0.125
